post_id,platform,post_type,date,post_day,time,caption,hashtags,num_likes,num_comments,num_shares,caption_length,num_hashtags,post_hour,sentiment_score
1,Facebook,image,17-08-2023,Thursday,02:45 PM,Best day ever! 🎉,#Social,2121,474,628,16,1,14,positive
2,Facebook,carousel,14-05-2023,Sunday,12:45 AM,Here's a quick update.,"#Family, #Community, #Events",3660,432,694,22,3,0,neutral
3,Instagram,poll,21-02-2023,Tuesday,04:15 PM,Not my best day. 😞,"#Beauty, #Fashion, #InstaDaily",4955,408,688,18,3,16,negative
4,Twitter,image,16-11-2023,Thursday,12:45 AM,Disappointed but moving on.,"#Trending, #Tech, #Entertainment",1183,90,187,27,3,0,negative
5,Twitter,video,23-05-2023,Tuesday,12:30 AM,Exciting news! 🚀,"#News, #Politics, #Entertainment",3499,247,286,16,3,0,positive
6,Instagram,carousel,05-05-2023,Friday,08:00 PM,"New post, check it out!",#Photography,256,186,211,23,1,20,neutral
7,Instagram,image,26-02-2023,Sunday,11:45 AM,Loving this new vibe! 😍,#Foodie,1982,30,906,23,1,11,positive
8,Instagram,text,28-10-2023,Saturday,07:30 PM,"New post, check it out!",#Fashion,1274,45,216,23,1,19,neutral
9,Facebook,video,02-05-2023,Tuesday,06:15 AM,Just another day.,"#Friends, #Family, #Events",317,249,221,17,3,6,neutral
10,Twitter,carousel,11-05-2023,Thursday,11:00 AM,Here's a quick update.,"#News, #Entertainment, #Tech",1878,225,438,22,3,11,neutral
11,Twitter,text,08-12-2023,Friday,02:15 AM,Feeling down today.,"#Tech, #Trending, #Memes",1446,44,52,19,3,2,negative
12,Twitter,video,15-06-2023,Thursday,03:15 AM,Amazing experience! 🌟,#Politics,304,42,89,21,1,3,positive
13,Facebook,carousel,11-11-2023,Saturday,03:45 PM,Not my best day. 😞,"#Marketing, #Social",45,78,375,18,2,15,negative
14,Twitter,text,30-09-2023,Saturday,10:30 AM,Exciting news! 🚀,#Politics,1333,144,123,16,1,10,positive
15,Facebook,carousel,09-01-2023,Monday,08:00 PM,Best day ever! 🎉,"#Friends, #Social, #Marketing",889,314,262,16,3,20,positive
16,Twitter,image,10-02-2023,Friday,01:00 PM,What do you think?,"#Entertainment, #Tech",2348,154,18,18,2,13,neutral
17,Instagram,poll,05-07-2023,Wednesday,05:15 AM,Best day ever! 🎉,#Photography,2872,10,736,16,1,5,positive
18,Twitter,text,23-07-2023,Sunday,05:45 AM,"New post, check it out!","#Entertainment, #Politics",512,123,338,23,2,5,neutral
19,Twitter,text,20-11-2023,Monday,02:00 AM,Amazing experience! 🌟,#Tech,2013,122,183,21,1,2,positive
20,Facebook,image,02-02-2023,Thursday,04:00 PM,Best day ever! 🎉,"#Friends, #Events, #Family",455,86,79,16,3,16,positive
